"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Kannur B.O","562149","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bg North","Bangalore","KARNATAKA","STC"
"Madabal B.O","561201","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Madigondanahalli B.O","562127","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Manchanayakanahalli B.O","562109","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Ramangara","Ramanagar","KARNATAKA","STC"
"Marchanhalli B.O","562160","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Marlebekuppe B.O","562117","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Melekote S.O","561205","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Nelavagilu B.O","562122","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Rampura B.O","562160","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Sathanur B.O","562120","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Sathanur S.O","562126","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapaura","Ramanagar","KARNATAKA","STC"
"Savandurga B.O","561201","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Singarajipura B.O","562138","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Sugganahalli S.O","562128","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Ramanagara","Ramanagar","KARNATAKA","STC"
"Sulebele S.O","562129","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Tattekere B.O","562112","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Tavarekere B.O","562122","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Thimmasandra B.O","561201","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Tungani B.O","562117","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Uragapura B.O","562109","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Ramanagara","Ramanagar","KARNATAKA","STC"
"Vidyanagara B.O","562157","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bg North","Bangalore","KARNATAKA","STC"
"Vishwanathapura B.O","562110","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Devanahalli","Bangalore Rural","KARNATAKA","STC"
