"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Gagan Mahal S.O","500029","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Himayathnagar","Hyderabad","ANDHRA PRADESH","STC"
"Gandhi Bhawan S.O (Hyderabad)","500001","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Nampally","Hyderabad","ANDHRA PRADESH","STC"
"Gandipet B.O","500075","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Rajendra Nagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Himayathnagar B.O","500075","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Moinabad","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Himayathnagar S.O","500029","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Himayathnagar","Hyderabad","ANDHRA PRADESH","STC"
"Jubilee Hills S.O","500033","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Shaikpet","Hyderabad","ANDHRA PRADESH","STC"
"Karwan Sahu S.O","500006","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Asifnagar","Hyderabad","ANDHRA PRADESH","STC"
"Lunger House S.O","500008","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Golconda","Hyderabad","ANDHRA PRADESH","STC"
"Madhapur B.O","500081","B.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Shaikpet","Hyderabad","ANDHRA PRADESH","STC"
"Moosapet B.O","500018","B.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Balanagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Narayanguda S.O","500029","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Himayathnagar","Hyderabad","ANDHRA PRADESH","STC"
"Somajiguda S.O","500082","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Nampally","Hyderabad","ANDHRA PRADESH","STC"
"Swarajyanagar S.O","500018","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Balanagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Vengal Rao Nagar S.O","500038","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Khairatabad","Hyderabad","ANDHRA PRADESH","STC"
"Vivekananda Nagar Colony S.O","500018","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Balanagar","Hyderabad","ANDHRA PRADESH","STC"
"Appa Himayathsagar B.O","500008","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Dr.B R Ambedkar O.U  S.O","500033","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Shaikpet","Hyderabad","ANDHRA PRADESH","STC"
"Erragadda S.O","500018","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Ameerpet","Hyderabad","ANDHRA PRADESH","STC"
"Hyder Shah Kote B.O","500008","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Golconda","Hyderabad","ANDHRA PRADESH","STC"
"I.M.Colony S.O","500082","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Khairatabad","Hyderabad","ANDHRA PRADESH","STC"
"Kokapet B.O","500075","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Rajendra Nagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Nanakramguda B.O","500008","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Golconda","Hyderabad","ANDHRA PRADESH","STC"
"Parishram Bhawan S.O","500004","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Himayathnagar","Hyderabad","ANDHRA PRADESH","STC"
"Sanath Nagar Colony S.O","500018","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Ameerpet","Hyderabad","ANDHRA PRADESH","STC"
"Sanjeev Reddy Nagar S.O","500038","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Ameerpet","Hyderabad","ANDHRA PRADESH","STC"
"State Bank Of Hyderabad S.O","500001","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Nampally","Hyderabad","ANDHRA PRADESH","STC"
"Vijay Nagar Colony S.O (Hyderabad)","500057","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Asifnagar","Hyderabad","ANDHRA PRADESH","STC"
"Fathenagar Colony S.O","500018","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Balanagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Gachibowli S.O","500032","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Seri Lingampally","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Ibrahim Bagh Lines S.O","500031","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Golconda","Hyderabad","ANDHRA PRADESH","STC"
"Manikonda S.O","500089","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","NA","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Narsingi B.O","500075","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Sakkubai Nagar S.O","500008","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Golconda","Hyderabad","ANDHRA PRADESH","STC"
"A.Gs. Staff Quarters S.O","500045","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Khairatabad","Hyderabad","ANDHRA PRADESH","STC"
"Aziz Nagar B.O","500075","B.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Moinabad","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Banjara Hills S.O","500034","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Khairatabad","Hyderabad","ANDHRA PRADESH","STC"
"CUC S.O","500046","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Serilingampally","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Dargah Hussain Shahwali B.O","500008","B.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Golconda","Hyderabad","ANDHRA PRADESH","STC"
"Kothaguda S.O (K.V.Rangareddy)","500084","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Serilingampally","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Sanathnagar I E S.O","500018","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Balanagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Srinagar Colony S.O","500073","S.O","Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Khairatabad","Hyderabad","ANDHRA PRADESH","STC"
"Vidhan Sabha S.O (Hyderabad)","500004","S.O","Non-Delivery","Hyderabad City","Hyderabad City","Andhra Pradesh","Nampally","Hyderabad","ANDHRA PRADESH","STC"
"Hyderabad G.P.O. ","500001","H.O","Delivery","Hyderabad GPO","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Agapalli B.O","501506","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Bandaraviryal B.O","501505","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Fatehdarwaza S.O","500065","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Gsi(Sr) Bandlaguda S.O","500068","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Gungal B.O","501506","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Hasannagar B.O","500052","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"I.E.Nacharam S.O","500076","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Uppal","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kanchanbagh S.O","500058","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Bandlaguda","Hyderabad","ANDHRA PRADESH","STC"
"Karmanghat B.O","500079","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kotwalguda B.O","501218","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kuntloor B.O","501505","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","NA","K.V.Rangareddy","ANDHRA PRADESH","STC"
"L B Nagar S.O","500074","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Malakpet Colony S.O","500036","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Amberpet","Hyderabad","ANDHRA PRADESH","STC"
"Nadergul B.O","501510","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Nandiwanaparthy B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Nedunur B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Ramdaspalli B.O","501510","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Sahifa S.O","500024","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saidabad","Hyderabad","ANDHRA PRADESH","STC"
"Shamshabad S.O (K.V.Rangareddy)","501218","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Survey Of India S.O","500039","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Uppal","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Vanastalipuram S.O","500070","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Vidyanagar S.O (Hyderabad)","500044","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Musheerabad","Hyderabad","ANDHRA PRADESH","STC"
"Zindatelismath B.O","500013","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Amberpet","Hyderabad","ANDHRA PRADESH","STC"
"Badangpet B.O","500058","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Chaithanyapuri Colony S.O","500060","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Darushifa S.O","500024","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Dilsukhnagar Colony S.O","500060","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Hyderguda S.O","500048","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kavadpalli B.O","501505","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Manthangowd Gowrelli B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Narkhoda B.O","501218","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Pulmamidi B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Saidabad S.O (Hyderabad)","500059","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Sarada Nagar S.O","500070","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Tadlapalliguda B.O","501508","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Tatiparthy B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Yacharam S.O","501509","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Yakutpura S.O","500023","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Adibatla B.O","501510","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Barkatpura S.O","500027","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Himayathnagar","Hyderabad","ANDHRA PRADESH","STC"
"Chinnagolkonda B.O","501218","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Shamshabad","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Chippalapalli B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Falaknuma S.O","500053","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Gudur B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Hindustan Cables Ltd S.O","500051","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Uppal","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Hussainialam S.O","500064","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Bahadurpura","Hyderabad","ANDHRA PRADESH","STC"
"Hyderabad Jubilee H.O","500002","H.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Hyderabad Public School S.O","500013","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Amberpet","Hyderabad","ANDHRA PRADESH","STC"
"Mansoorabad B.O","500068","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Medipalli B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Mondigowrelli B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Pedda Amberpet B.O","501505","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Ramoji Film City S.O","501512","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Sanghinagar S.O","501511","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Seminary B.O","500013","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Amberpet","Hyderabad","ANDHRA PRADESH","STC"
"Thimmapur B.O","501506","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Turkayamzal B.O","501510","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"A.G.College S.O","500030","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Batasingaram B.O","501512","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Crp Camp S.O (Hyderabad)","500005","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Bandlaguda","Hyderabad","ANDHRA PRADESH","STC"
"Dabbedguda B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Eleminedu B.O","501506","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Gayatri Nagar S.O","500097","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","saroornagar","Hyderabad","ANDHRA PRADESH","STC"
"Jillellaguda B.O","500079","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kattedan Ie S.O","500077","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kismathpur B.O","500030","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Moghalpura S.O","500002","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Nanajipur B.O","501218","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Qutubullapur B.O","501505","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"R.C.Imarat S.O","500069","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Bandlaguda","Hyderabad","ANDHRA PRADESH","STC"
"Raipole S.O","501508","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Rajendranagar S.O (K.V.Rangareddy)","500030","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Srinivasapuram S.O (Hyderabad)","500013","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Amberpet","Hyderabad","ANDHRA PRADESH","STC"
"Sripuram Colony B.O","500036","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Amberpet","Hyderabad","ANDHRA PRADESH","STC"
"Uppuguda S.O","500053","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Anajpur B.O","501512","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Boduppal S.O","500092","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Ghatkesar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Chintapatla B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kandukur B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Meerkhanpet B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Nagaram B.O","501218","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Osmannagar S.O (Hyderabad)","500036","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saidabad","Hyderabad","ANDHRA PRADESH","STC"
"Peerzadiguda B.O","500039","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Vinjapur B.O","501510","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Ambernagar B.O","500044","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Musheerabad","Hyderabad","ANDHRA PRADESH","STC"
"Andhra Mahila Sabha S.O","500044","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Musheerabad","Hyderabad","ANDHRA PRADESH","STC"
"Arutla B.O","501508","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Dandumailaram B.O","501508","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Gaganpahad B.O","500052","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Gollapalli Kalan B.O","501218","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Hayatnagar S.O","501505","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hayathnagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Jaitwaram B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Keshogiri S.O","500005","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Bandlaguda","Hyderabad","ANDHRA PRADESH","STC"
"Kongarakalan B.O","501510","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kongaraviryla B.O","501510","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Maheswaram","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kothapalli B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Madhapur B.O","501506","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Mallapur B.O","500076","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Uppal","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Manchal B.O","501508","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Mankhal S.O","501359","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Nallakunta S.O","500044","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Musheerabad","Hyderabad","ANDHRA PRADESH","STC"
"P & T Colony S.O (K.V.Rangareddy)","500060","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Pasmamala B.O","501505","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Ramakrishanapuram S.O","500035","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Rangareddy Dt Courts S.O","500074","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Santoshnagar Colony S.O","500059","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saidabad","Hyderabad","ANDHRA PRADESH","STC"
"Saroornagar S.O","500035","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Tummalur B.O","501359","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Attapur B.O","500048","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Bahadurpura S.O","500064","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Don Bosco Nagar S.O","500086","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rajendranagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Gummadavalli B.O","501506","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"High Court S.O (Hyderabad)","500066","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Charminar","Hyderabad","ANDHRA PRADESH","STC"
"Huda Residential Complex S.O","500035","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Saroornagar","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kappapahad B.O","501506","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Kurmidda B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Lemur B.O","501359","B.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"Mamidipalli B.O","500005","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Hyderabad","Hyderabad","ANDHRA PRADESH","STC"
"Nallavalli B.O","501509","B.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Rangareddy","K.V.Rangareddy","ANDHRA PRADESH","STC"
"New Nallakunta S.O","500044","S.O","Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Musheerabad","Hyderabad","ANDHRA PRADESH","STC"
"Nimboliadda S.O","500027","S.O","Non-Delivery","Hyderabad South East","Hyderabad City","Andhra Pradesh","Nampally","Hyderabad","ANDHRA PRADESH","STC"
