"Officename","pincode","officeType","Deliverystatus","divisionname","Region name","Circlename","Taluk","Districtname","State name","pricing_code"
"Vasundhra S.O","201012","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Achheja B.O","203207","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Achheja","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Bisara B.O","201008","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Bisara","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Chhaprola B.O","201009","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Chhprola","Ghaziabad","UTTAR PRADESH","NCR"
"Crossing Republik","201016","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Dadri S.O","203207","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Noida","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Dehra B.O","245301","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Dhaulana","Ghaziabad","UTTAR PRADESH","NCR"
"Garhmukhteshwer S.O","245205","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Hapur","Ghaziabad","UTTAR PRADESH","NCR"
"Maharishi Nagar S.O","201304","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Noida","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Raj Nagar Extension S.O","201017","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Chander Nagar S.O","201011","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Farrukh Nagar B.O","201003","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"I.E.Sahibabad S.O","201010","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Jindal Nagar B.O","201015","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Nepz Post Office S.O","201305","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Noida","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Pasonda B.O","201005","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Pasonda","Ghaziabad","UTTAR PRADESH","NCR"
"Salarpur Kalan B.O","201008","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Salarpur Kalan","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Simbhaoli S.O","245207","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Hapur","Ghaziabad","UTTAR PRADESH","NCR"
"Tronica City S.O","201103","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","NA","Ghaziabad","UTTAR PRADESH","NCR"
"Amity University S.O","201313","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Dadri","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Govindpuram S.O","201013","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Hindon Air Field S.O","201004","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
"Kandaula B.O","245301","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Dhaulana","Ghaziabad","UTTAR PRADESH","NCR"
"Morta B.O","201003","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Morta","Ghaziabad","UTTAR PRADESH","NCR"
"Noida Sector 37 S.O","201303","S.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Noida","Gautam Buddha Nagar","UTTAR PRADESH","NCR"
"Udai Rampur Nagla B.O","201015","B.O","Delivery","Ghaziabad","Lucknow  HQ","Uttar Pradesh","Ghaziabad","Ghaziabad","UTTAR PRADESH","NCR"
